freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.316e+01,2.252e+01,3.702e+02,4.759e+02
1.6,3.662e+02,6.999e+01,2.474e+02,6.836e+02
3.1,4.381e+02,7.937e+01,6.833e+01,5.858e+02
4.7,9.677e+02,1.446e+02,3.902e+02,1.503e+03
6.2,1.615e+03,2.278e+02,1.287e+03,3.130e+03
7.8,1.568e+03,2.195e+02,2.107e+03,3.895e+03
9.3,1.522e+03,2.102e+02,3.004e+03,4.736e+03
10.9,1.602e+03,2.284e+02,4.264e+03,6.095e+03
12.4,1.352e+03,2.009e+02,5.549e+03,7.101e+03
14.0,1.318e+03,2.204e+02,6.240e+03,7.778e+03
15.5,1.119e+03,1.970e+02,7.847e+03,9.163e+03
17.1,1.073e+03,1.765e+02,1.025e+04,1.150e+04
18.6,1.067e+03,1.619e+02,1.262e+04,1.385e+04
20.2,1.006e+03,1.574e+02,1.586e+04,1.702e+04
21.8,1.088e+03,1.676e+02,1.833e+04,1.959e+04
23.3,1.272e+03,2.040e+02,2.184e+04,2.331e+04
24.9,1.596e+03,2.614e+02,2.616e+04,2.802e+04
26.4,1.887e+03,3.036e+02,2.979e+04,3.199e+04
28.0,1.893e+03,2.854e+02,3.628e+04,3.846e+04
29.5,1.818e+03,2.635e+02,4.644e+04,4.852e+04
31.1,1.953e+03,2.474e+02,5.765e+04,5.985e+04
32.6,1.903e+03,2.469e+02,6.933e+04,7.148e+04
34.2,1.742e+03,3.391e+02,8.353e+04,8.561e+04
35.7,1.859e+03,5.750e+02,1.044e+05,1.068e+05
37.3,1.878e+03,6.118e+02,1.278e+05,1.303e+05
38.8,2.256e+03,6.297e+02,1.524e+05,1.553e+05
40.4,2.574e+03,1.009e+03,1.866e+05,1.902e+05
42.0,3.145e+03,1.596e+03,2.260e+05,2.308e+05
43.5,3.956e+03,2.732e+03,2.485e+05,2.552e+05
45.1,4.393e+03,5.249e+03,2.643e+05,2.739e+05
46.6,6.327e+03,8.110e+03,3.064e+05,3.208e+05
48.2,1.275e+04,8.361e+03,3.306e+05,3.517e+05
49.7,1.766e+04,1.222e+04,3.210e+05,3.509e+05
51.3,1.147e+04,1.801e+04,3.101e+05,3.396e+05
52.8,1.060e+04,1.768e+04,3.257e+05,3.540e+05
54.4,1.411e+04,1.148e+04,3.673e+05,3.929e+05
55.9,1.574e+04,5.405e+03,4.122e+05,4.333e+05
57.5,1.594e+04,3.958e+03,4.976e+05,5.175e+05
59.0,1.176e+04,5.239e+03,5.802e+05,5.972e+05
60.6,9.046e+03,7.158e+03,6.082e+05,6.244e+05
62.2,1.014e+04,9.961e+03,5.880e+05,6.081e+05
63.7,1.114e+04,1.246e+04,5.675e+05,5.911e+05
65.3,1.175e+04,1.382e+04,5.774e+05,6.029e+05
66.8,1.471e+04,1.199e+04,5.892e+05,6.158e+05
68.4,1.749e+04,1.046e+04,5.451e+05,5.731e+05
69.9,1.621e+04,1.323e+04,5.062e+05,5.357e+05
71.5,1.115e+04,1.124e+04,3.777e+05,4.001e+05
73.0,8.863e+03,7.838e+03,2.846e+05,3.013e+05
74.6,1.099e+04,9.031e+03,2.496e+05,2.696e+05
76.1,1.367e+04,1.163e+04,2.228e+05,2.481e+05
77.7,1.445e+04,1.257e+04,1.740e+05,2.010e+05
79.3,1.355e+04,1.122e+04,1.230e+05,1.477e+05
80.8,1.109e+04,9.579e+03,9.057e+04,1.112e+05
82.4,8.965e+03,8.008e+03,7.643e+04,9.341e+04
83.9,8.012e+03,7.188e+03,8.573e+04,1.009e+05
85.5,8.180e+03,9.798e+03,1.223e+05,1.403e+05
87.0,8.223e+03,1.520e+04,1.638e+05,1.872e+05
88.6,8.881e+03,1.882e+04,1.802e+05,2.079e+05
90.1,9.635e+03,1.877e+04,1.564e+05,1.848e+05
91.7,9.089e+03,1.586e+04,1.241e+05,1.490e+05
93.2,9.278e+03,1.767e+04,1.187e+05,1.457e+05
94.8,9.836e+03,2.016e+04,1.202e+05,1.502e+05
96.3,8.589e+03,1.739e+04,1.080e+05,1.340e+05
