freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.226e+02,4.015e+02,1.852e+01,5.426e+02
1.6,1.352e+02,2.371e+02,3.265e+01,4.049e+02
3.1,8.503e+01,2.897e+01,2.803e+01,1.420e+02
4.7,9.054e+01,3.526e+02,3.153e+01,4.747e+02
6.2,9.990e+01,1.289e+03,3.052e+01,1.420e+03
7.8,1.254e+02,2.174e+03,3.051e+01,2.330e+03
9.3,1.397e+02,3.224e+03,3.266e+01,3.396e+03
10.9,1.445e+02,4.711e+03,3.797e+01,4.894e+03
12.4,1.628e+02,7.014e+03,4.641e+01,7.224e+03
14.0,2.034e+02,9.090e+03,4.024e+01,9.333e+03
15.5,2.951e+02,8.594e+03,3.877e+01,8.928e+03
17.1,4.191e+02,1.058e+04,4.794e+01,1.104e+04
18.6,7.204e+02,1.401e+04,6.329e+01,1.479e+04
20.2,9.147e+02,1.799e+04,6.932e+01,1.897e+04
21.8,1.123e+03,2.270e+04,1.042e+02,2.393e+04
23.3,1.273e+03,2.967e+04,1.620e+02,3.110e+04
24.9,1.676e+03,3.956e+04,2.202e+02,4.146e+04
26.4,2.325e+03,5.304e+04,2.537e+02,5.562e+04
28.0,2.857e+03,6.980e+04,2.581e+02,7.291e+04
29.5,3.197e+03,9.419e+04,3.155e+02,9.771e+04
31.1,3.664e+03,1.314e+05,5.140e+02,1.356e+05
32.6,4.162e+03,1.748e+05,1.039e+03,1.800e+05
34.2,6.798e+03,2.511e+05,2.061e+03,2.600e+05
35.7,2.118e+04,4.768e+05,4.676e+03,5.027e+05
37.3,7.536e+04,8.475e+05,8.387e+03,9.313e+05
38.8,1.202e+05,9.305e+05,1.285e+04,1.064e+06
40.4,1.394e+05,8.428e+05,1.896e+04,1.001e+06
42.0,1.675e+05,7.634e+05,2.195e+04,9.529e+05
43.5,2.032e+05,6.631e+05,2.431e+04,8.906e+05
45.1,2.378e+05,5.454e+05,2.979e+04,8.130e+05
46.6,2.649e+05,4.221e+05,3.348e+04,7.204e+05
48.2,2.828e+05,3.383e+05,3.875e+04,6.599e+05
49.7,2.805e+05,2.870e+05,4.406e+04,6.116e+05
51.3,2.293e+05,2.577e+05,3.082e+04,5.178e+05
52.8,1.837e+05,2.357e+05,1.873e+04,4.381e+05
54.4,1.262e+05,2.248e+05,9.886e+03,3.609e+05
55.9,9.206e+04,2.029e+05,4.592e+03,2.996e+05
57.5,9.121e+04,1.743e+05,6.098e+03,2.717e+05
59.0,1.066e+05,1.365e+05,9.995e+03,2.531e+05
60.6,1.249e+05,9.198e+04,1.024e+04,2.271e+05
62.2,1.218e+05,5.368e+04,5.617e+03,1.811e+05
63.7,9.675e+04,3.245e+04,2.975e+03,1.322e+05
65.3,6.749e+04,2.574e+04,4.093e+03,9.732e+04
66.8,4.653e+04,2.345e+04,4.818e+03,7.481e+04
68.4,3.177e+04,2.891e+04,5.384e+03,6.607e+04
69.9,2.196e+04,3.330e+04,6.969e+03,6.223e+04
71.5,1.630e+04,3.195e+04,8.194e+03,5.645e+04
73.0,1.695e+04,3.499e+04,6.049e+03,5.799e+04
74.6,2.694e+04,4.547e+04,4.280e+03,7.670e+04
76.1,3.144e+04,5.342e+04,3.809e+03,8.867e+04
77.7,3.295e+04,5.713e+04,4.220e+03,9.430e+04
79.2,2.962e+04,5.994e+04,6.453e+03,9.601e+04
80.8,2.446e+04,6.207e+04,9.755e+03,9.629e+04
82.4,2.156e+04,6.163e+04,1.385e+04,9.704e+04
83.9,1.863e+04,5.791e+04,1.789e+04,9.443e+04
85.5,1.524e+04,5.168e+04,2.153e+04,8.846e+04
87.0,1.237e+04,4.366e+04,2.230e+04,7.833e+04
88.6,1.043e+04,3.819e+04,1.683e+04,6.545e+04
90.1,1.027e+04,3.958e+04,1.383e+04,6.367e+04
91.7,1.231e+04,4.519e+04,1.368e+04,7.118e+04
93.2,1.418e+04,4.828e+04,8.824e+03,7.128e+04
94.8,1.475e+04,5.041e+04,5.341e+03,7.049e+04
96.3,1.469e+04,5.175e+04,3.728e+03,7.016e+04
97.9,1.360e+04,4.932e+04,2.682e+03,6.561e+04
99.4,1.168e+04,4.215e+04,1.488e+03,5.532e+04
101.0,9.327e+03,3.704e+04,1.220e+03,4.759e+04
102.6,6.448e+03,3.180e+04,1.698e+03,3.995e+04
104.1,4.931e+03,2.701e+04,1.837e+03,3.378e+04
105.7,4.836e+03,2.317e+04,1.663e+03,2.967e+04
107.2,4.018e+03,1.675e+04,1.888e+03,2.266e+04
108.8,3.562e+03,1.339e+04,1.840e+03,1.879e+04
110.3,3.450e+03,1.244e+04,1.583e+03,1.747e+04
111.9,3.472e+03,1.066e+04,1.312e+03,1.544e+04
113.4,3.374e+03,8.901e+03,1.344e+03,1.362e+04
115.0,3.648e+03,8.912e+03,1.451e+03,1.401e+04
116.5,4.140e+03,9.845e+03,1.398e+03,1.538e+04
118.1,4.296e+03,1.035e+04,1.516e+03,1.616e+04
119.6,4.225e+03,1.061e+04,2.030e+03,1.686e+04
121.2,4.055e+03,1.036e+04,2.412e+03,1.682e+04
122.8,3.842e+03,1.011e+04,2.522e+03,1.647e+04
124.3,3.790e+03,1.002e+04,2.703e+03,1.651e+04
125.9,3.681e+03,9.397e+03,2.948e+03,1.603e+04
127.4,3.731e+03,9.039e+03,2.951e+03,1.572e+04
129.0,3.527e+03,8.603e+03,2.906e+03,1.504e+04
130.5,3.414e+03,7.711e+03,2.946e+03,1.407e+04
132.1,4.087e+03,6.634e+03,5.130e+03,1.585e+04
133.6,6.894e+03,6.297e+03,1.743e+04,3.062e+04
135.2,4.630e+03,3.847e+03,1.000e+04,1.848e+04
136.7,2.815e+03,2.172e+03,3.055e+03,8.042e+03
138.3,3.107e+03,1.622e+03,3.646e+03,8.376e+03
139.8,3.230e+03,1.214e+03,4.895e+03,9.340e+03
141.4,2.584e+03,1.244e+03,4.483e+03,8.311e+03
143.0,2.112e+03,1.247e+03,4.046e+03,7.405e+03
144.5,2.162e+03,1.931e+03,4.938e+03,9.030e+03
146.1,2.241e+03,3.467e+03,5.107e+03,1.081e+04
147.6,1.911e+03,4.615e+03,5.140e+03,1.167e+04
149.2,1.062e+03,4.538e+03,3.011e+03,8.610e+03
150.7,7.660e+02,4.353e+03,1.775e+03,6.894e+03
152.3,7.880e+02,4.486e+03,1.536e+03,6.810e+03
153.8,1.073e+03,4.816e+03,2.082e+03,7.971e+03
155.4,1.343e+03,4.598e+03,2.288e+03,8.230e+03
156.9,1.295e+03,4.119e+03,2.054e+03,7.468e+03
158.5,1.439e+03,4.228e+03,2.143e+03,7.810e+03
160.0,1.426e+03,4.731e+03,1.891e+03,8.048e+03
161.6,1.292e+03,5.135e+03,1.473e+03,7.900e+03
163.2,1.021e+03,5.907e+03,1.210e+03,8.138e+03
164.7,8.443e+02,6.065e+03,1.179e+03,8.088e+03
166.3,9.963e+02,6.313e+03,1.461e+03,8.770e+03
167.8,1.208e+03,6.743e+03,1.944e+03,9.896e+03
169.4,1.123e+03,7.288e+03,1.858e+03,1.027e+04
170.9,9.760e+02,7.512e+03,1.428e+03,9.916e+03
172.5,9.883e+02,7.154e+03,1.119e+03,9.261e+03
174.0,9.841e+02,6.773e+03,9.007e+02,8.658e+03
175.6,1.140e+03,6.736e+03,9.405e+02,8.817e+03
177.1,1.567e+03,6.231e+03,1.359e+03,9.157e+03
178.7,1.957e+03,4.892e+03,2.360e+03,9.208e+03
180.2,1.550e+03,3.783e+03,2.149e+03,7.482e+03
181.8,1.613e+03,3.200e+03,2.863e+03,7.677e+03
183.4,1.857e+03,3.513e+03,3.776e+03,9.146e+03
184.9,1.866e+03,3.793e+03,3.990e+03,9.649e+03
186.5,2.168e+03,3.748e+03,5.018e+03,1.093e+04
188.0,2.298e+03,3.955e+03,5.416e+03,1.167e+04
189.6,2.011e+03,3.933e+03,4.704e+03,1.065e+04
191.1,1.724e+03,3.203e+03,4.201e+03,9.127e+03
192.7,1.822e+03,2.562e+03,4.352e+03,8.736e+03
194.2,1.777e+03,2.489e+03,4.387e+03,8.653e+03
195.8,1.851e+03,2.565e+03,5.251e+03,9.667e+03
197.3,1.921e+03,2.213e+03,6.431e+03,1.056e+04
198.9,1.846e+03,1.995e+03,6.935e+03,1.078e+04
